MeanDecreaseGini,lipid_id_became,lipid_id_miracle,lipid_class,modified_became_id
X64,1.228303146772,PC(15:1/20:4) /PC(15:0/20:5),PC(15:0/20:5),Phosphatidylcholines,PC(15:1/20:4) /PC(15:0/20:5)
X62,1.04585303074094,PC(14:0_20:5),PC(14:0_20:4n-3),Phosphatidylcholines,PC(14:0_20:5)
X134,1.0450756322223,TG52:7,TG52:7,Triglycerides,TG52:7
X128,0.897490953906365,TG50:6,TG50:6,Triglycerides,TG50:6
X11,0.886033370753608,CE20:5,CE20:5,Cholesteryl esters,CE20:5
X83,0.880622180795579,PC(22:6_20:4),PC(20:4_22:5),Phosphatidylcholines,PC(22:6_20:4)
X127,0.845373156576181,TG50:5,TG50:6,Triglycerides,TG50:5__2
X3,0.795580271633483,C18:1 Car,C18:1 Car,Acylcarnitines,C18:1 Car
X143,0.717984351850259,TG54:7,TG54:7,Triglycerides,TG54:7
X144,0.713701197469521,TG54:8,TG54:8,Triglycerides,TG54:8
X132,0.571790666988624,TG52:5,TG52:5,Triglycerides,TG52:5
X63,0.553729281791499,PC(15:0_22:6),PC(14:0_20:5),Phosphatidylcholines,PC(15:0_22:6)
X8,0.524827723027917,CE18:1,CE18:1,Cholesteryl esters,CE18:1
X71,0.482950058369562,PC(16:1_20:5),PC(16:0_24:6),Phosphatidylcholines,PC(16:1_20:5)
X53,0.482853967554595,PC(O-18:1/20:3),PC(O-18:1/18:2),Phosphatidylcholine ethers,PC(O-18:1/20:3)
X133,0.473222061948847,TG52:6,TG52:6,Triglycerides,TG52:6
X124,0.467198746154484,TG50:4,TG50:4,Triglycerides,TG50:4__1
X67,0.463083585784647,PC(16:0_20:5),PC(16:0_20:4n-3),Phosphatidylcholines,PC(16:0_20:5)
X37,0.461879455355366,PC(16:0_18:2(OH)),PC(16:0_18:2(OH)),Oxidized Phosphatidylcholines,PC(16:0_18:2(OH))
X146,0.453987504345863,TG55:7,TG55:7,Triglycerides,TG55:7
X51,0.418751747130535,PC(O-18:1/16:0),PC(O-18:0/20:4),Phosphatidylcholine ethers,PC(O-18:1/16:0)
X61,0.372303946526238,PC(14:0_20:4n-3),PC(14:0_18:2),Phosphatidylcholines,PC(14:0_20:4n-3)
X16,0.36731832743604,LPC15:0,LPC15:0,Lysophosphatidylcholines,LPC15:0
X78,0.348101806820195,PC(18:2_20:5),PC(18:2_20:4)-b,Phosphatidylcholines,PC(18:2_20:5)
X58,0.326608704906708,PC(O-20:2/20:4),PC(O-20:0/20:4),Phosphatidylcholine ethers,PC(O-20:2/20:4)
X4,0.305956080098318,C18:2 Car,C18:2 Car,Acylcarnitines,C18:2 Car
X1,0.287131134432931,C16:0 Car,C16:0 Car,Acylcarnitines,C16:0 Car
X142,0.274245793708914,TG54:6,TG54:6,Triglycerides,TG54:6__5
X84,0.230688417976577,PE(O-16:0/20:4),PC(22:6_20:4),Phosphatidylcholines,PE(O-16:0/20:4)
X39,0.230650302222019,PC(O-16:0/16:0),SM(d18:1/16:0)-OH,Oxydized Sphingomyelins,PC(O-16:0/16:0)
X154,0.227246707637245,TG57:7,TG57:7,Triglycerides,TG57:7
X81,0.213062444670377,PC(20:4_20:3),PC(20:4_20:0),Phosphatidylcholines,PC(20:4_20:3)
X65,0.209499204571832,PC(16:0_20:4n-3)-a,PC(15:0_22:6),Phosphatidylcholines,PC(16:0_20:4n-3)-a
X110,0.2044327585701,SM(d18:1/16:0)-OH,SM(d19:1/24:0),Sphingomyelins,SM(d18:1/16:0)-OH
X104,0.191396890613896,SM(d18:2/23:0),SM(d18:2/14:0),Sphingomyelins,SM(d18:2/23:0)
X73,0.183410979322331,PC(16:1_22:6),PC(16:1_22:5),Phosphatidylcholines,PC(16:1_22:6)
X77,0.182344803420705,PC(18:2_20:4),PC(18:2_18:3),Phosphatidylcholines,PC(18:2_20:4)
X33,0.179067240225203,LPC20:5,LPC20:5,Lysophosphatidylcholines,LPC20:5
X155,0.177216594368062,TG58:10,TG58:10,Triglycerides,TG58:10
X56,0.177040690511286,PC(O-18:1/22:4),PC(O-18:1/20:4)-b,Phosphatidylcholine ethers,PC(O-18:1/22:4)
X72,0.168374390411783,PC(16:1_22:5),PC(16:1_20:5),Phosphatidylcholines,PC(16:1_22:5)
X153,0.166844310863884,TG56:8,TG56:8,Triglycerides,TG56:8
X40,0.150431400475327,PC(O-16:0/16:1)-a,PC(O-16:0/16:0),Phosphatidylcholine ethers,PC(O-16:0/16:1)-a
X38,0.148962033498443,PC(16:0_20:4(OH)),PC(16:0_20:4(OH)),Oxidized Phosphatidylcholines,PC(16:0_20:4(OH))
X119,0.14700856125873,TG48:4,TG48:4,Triglycerides,TG48:4__2
X115,0.143961294665441,TG46:3,TG46:3,Triglycerides,TG46:3
X74,0.143908954283107,PC(18:1_20:5),PC(16:1_22:6)-a,Phosphatidylcholines,PC(18:1_20:5)
X49,0.143231790649623,PC(O-18:0/18:2)-b,PC(O-17:0/20:4),Phosphatidylcholine ethers,PC(O-18:0/18:2)-b
X94,0.142799010562528,SM(d16:1/22:0),SM(d16:1/16:0),Sphingomyelins,SM(d16:1/22:0)
X22,0.135018691257342,LPC17:0-c,LPC17:0-c,Lysophosphatidylcholines,LPC17:0-c
X54,0.131871066739462,PC(O-18:1/20:4)-a,PC(O-18:1/20:3),Phosphatidylcholine ethers,PC(O-18:1/20:4)-a
X6,0.127332346782967,Cer(d18:2/24:0),Cer(d18:2/24:0),Ceramides,Cer(d18:2/24:0)
X139,0.124993711497641,TG54:6,TG54:6,Triglycerides,TG54:6__2
X46,0.124618058376071,PC(O-16:0/22:4),PC(O-16:0/20:5),Phosphatidylcholine ethers,PC(O-16:0/22:4)
X121,0.120253374762008,TG49:3,TG49:3,Triglycerides,TG49:3
X160,0.119915855889833,TG60:11,TG60:8,Triglycerides,TG60:11
X97,0.112229232703736,SM(d18:1/21:0),SM(d18:1/20:0),Sphingomyelins,SM(d18:1/21:0)
X5,0.111675733035004,Cer(d18:0/24:1)-b,Cer(d18:0/24:1)-b,Ceramides,Cer(d18:0/24:1)-b
X105,0.102311431117686,SM(d18:2/24:0),SM(d18:2/22:0),Sphingomyelins,SM(d18:2/24:0)
X92,0.102147833218815,PE(18:1_18:0),PE(O-18:1/18:2),Phosphatidylethanolamines ethers,PE(18:1_18:0)
X129,0.0994908846888703,TG51:1,TG51:1,Triglycerides,TG51:1
X135,0.0993442640151529,TG53:4,TG53:4,Triglycerides,TG53:4
X23,0.0942827087320568,LPC18:0-a,LPC18:0-a,Lysophosphatidylcholines,LPC18:0-a
X85,0.0941053838458874,PE(O-16:1/18:2),PE(16:0_18:1),Phosphatidylethanolamines,PE(O-16:1/18:2)
X102,0.0922720823910956,SM(d18:2/14:0),SM(d18:1/24:0)-b,Sphingomyelins,SM(d18:2/14:0)
X69,0.0913770407506039,PC(16:0_24:6),PC(16:0_20:5),Phosphatidylcholines,PC(16:0_24:6)
X31,0.0903728691518413,LPC20:1,LPC20:1,Lysophosphatidylcholines,LPC20:1
X34,0.0897956423874694,LPC22:4,LPC22:4,Lysophosphatidylcholines,LPC22:4
X150,0.0888146214591409,TG56:6,TG56:6,Triglycerides,TG56:6__2
X112,0.0886359591382644,DG(18:1_18:1),DG(18:1/18:1)-b,Diglycerides,DG(18:1_18:1)
X80,0.0877665506893792,PC(20:4_20:0),PC(18:2_22:5),Phosphatidylcholines,PC(20:4_20:0)
X41,0.0870881980172203,PC(O-16:0/18:0),PC(O-16:0/16:1)-a,Phosphatidylcholine ethers,PC(O-16:0/18:0)
X86,0.0865839985785992,PE(O-18:1/18:2),PE(16:0_20:4),Phosphatidylethanolamines,PE(O-18:1/18:2)
X99,0.0857700561601877,SM(d18:1/23:0),SM(d18:1/22:0)-a,Sphingomyelins,SM(d18:1/23:0)
X116,0.0854263389904775,TG48:1,TG48:1,Triglycerides,TG48:1
X15,0.0814920842149484,LPC(O-18:1)-a,LPC(O-18:1),Lysophosphatidylcholine ethers,LPC(O-18:1)-a
X70,0.0789803495608165,PC(16:1_18:2),PC(16:0_22:7),Phosphatidylcholines,PC(16:1_18:2)
X136,0.0789053279441187,TG54:3,TG54:3,Triglycerides,TG54:3
X30,0.0782691177193926,LPC18:3,LPC18:3,Lysophosphatidylcholines,LPC18:3
X103,0.0779329839400994,SM(d18:2/22:0),SM(d18:1/25:0),Sphingomyelins,SM(d18:2/22:0)
X82,0.0777546055129138,PC(20:4_22:5),PC(20:4_20:3),Phosphatidylcholines,PC(20:4_22:5)
X13,0.077445056099493,LPC(O-16:1),LPC(O-16:1),Lysophosphatidylcholine ethers,LPC(O-16:1)
X141,0.0748297577464956,TG54:6,TG54:6,Triglycerides,TG54:6__4
