MeanDecreaseGini,lipid_id_became,lipid_id_miracle,lipid_class,modified_became_id
X51,1.29900460966469,PC(O-18:1/16:0),PC(O-18:0/20:4),Phosphatidylcholine ethers,PC(O-18:1/16:0)
X146,1.23300558778563,TG55:7,TG55:7,Triglycerides,TG55:7
X64,0.93768109751741,PC(15:1/20:4) /PC(15:0/20:5),PC(15:0/20:5),Phosphatidylcholines,PC(15:1/20:4) /PC(15:0/20:5)
X127,0.91590594403501,TG50:5,TG50:6,Triglycerides,TG50:5__2
X154,0.878002783679939,TG57:7,TG57:7,Triglycerides,TG57:7
X43,0.87192915247076,PC(O-16:0/20:3),PC(O-16:0/18:2),Phosphatidylcholine ethers,PC(O-16:0/20:3)
X138,0.864076451830095,TG54:6,TG54:6,Triglycerides,TG54:6__1
X49,0.80371247192324,PC(O-18:0/18:2)-b,PC(O-17:0/20:4),Phosphatidylcholine ethers,PC(O-18:0/18:2)-b
X144,0.795914275530631,TG54:8,TG54:8,Triglycerides,TG54:8
X134,0.759648211962376,TG52:7,TG52:7,Triglycerides,TG52:7
X112,0.753307718035039,DG(18:1_18:1),DG(18:1/18:1)-b,Diglycerides,DG(18:1_18:1)
X122,0.742806880098999,TG50:2,TG50:2,Triglycerides,TG50:2__1
X41,0.722838742981827,PC(O-16:0/18:0),PC(O-16:0/16:1)-a,Phosphatidylcholine ethers,PC(O-16:0/18:0)
X128,0.696261969822481,TG50:6,TG50:6,Triglycerides,TG50:6
X62,0.678990274538255,PC(14:0_20:5),PC(14:0_20:4n-3),Phosphatidylcholines,PC(14:0_20:5)
X155,0.631995165249677,TG58:10,TG58:10,Triglycerides,TG58:10
X11,0.620846958707514,CE20:5,CE20:5,Cholesteryl esters,CE20:5
X52,0.613272920546421,PC(O-18:1/18:2),PC(O-18:1/16:0),Phosphatidylcholine ethers,PC(O-18:1/18:2)
X152,0.608221646985297,TG56:6,TG56:6,Triglycerides,TG56:6__4
X83,0.571104513460018,PC(22:6_20:4),PC(20:4_22:5),Phosphatidylcholines,PC(22:6_20:4)
X142,0.570502155546042,TG54:6,TG54:6,Triglycerides,TG54:6__5
X63,0.567666188847253,PC(15:0_22:6),PC(14:0_20:5),Phosphatidylcholines,PC(15:0_22:6)
X132,0.56634076106326,TG52:5,TG52:5,Triglycerides,TG52:5
X143,0.561076066141657,TG54:7,TG54:7,Triglycerides,TG54:7
X121,0.54849814175704,TG49:3,TG49:3,Triglycerides,TG49:3
X119,0.547312249609602,TG48:4,TG48:4,Triglycerides,TG48:4__2
X91,0.54615437482508,PE(18:0_22:6),PE(O-16:1/18:2),Phosphatidylethanolamines ethers,PE(18:0_22:6)
X137,0.539912130907201,TG54:5,TG54:5,Triglycerides,TG54:5
X53,0.527695374962036,PC(O-18:1/20:3),PC(O-18:1/18:2),Phosphatidylcholine ethers,PC(O-18:1/20:3)
X124,0.498032107734247,TG50:4,TG50:4,Triglycerides,TG50:4__1
X3,0.49089154440901,C18:1 Car,C18:1 Car,Acylcarnitines,C18:1 Car
X65,0.445227258170809,PC(16:0_20:4n-3)-a,PC(15:0_22:6),Phosphatidylcholines,PC(16:0_20:4n-3)-a
X71,0.434707877714536,PC(16:1_20:5),PC(16:0_24:6),Phosphatidylcholines,PC(16:1_20:5)
X104,0.409778879926247,SM(d18:2/23:0),SM(d18:2/14:0),Sphingomyelins,SM(d18:2/23:0)
X158,0.395970127196815,TG58:8,TG58:8,Triglycerides,TG58:8__1
X123,0.387639046267329,TG50:2,TG50:2,Triglycerides,TG50:2__2
X97,0.378640611395809,SM(d18:1/21:0),SM(d18:1/20:0),Sphingomyelins,SM(d18:1/21:0)
X13,0.371194943558479,LPC(O-16:1),LPC(O-16:1),Lysophosphatidylcholine ethers,LPC(O-16:1)
X151,0.347577929775427,TG56:6,TG56:6,Triglycerides,TG56:6__3
X61,0.347363175223579,PC(14:0_20:4n-3),PC(14:0_18:2),Phosphatidylcholines,PC(14:0_20:4n-3)
X111,0.345688189346171,DG(16:0_18:1),DG(16:0/18:1),Diglycerides,DG(16:0_18:1)
X105,0.339854093865588,SM(d18:2/24:0),SM(d18:2/22:0),Sphingomyelins,SM(d18:2/24:0)
X94,0.335784074089412,SM(d16:1/22:0),SM(d16:1/16:0),Sphingomyelins,SM(d16:1/22:0)
X135,0.334138126817565,TG53:4,TG53:4,Triglycerides,TG53:4
X161,0.331560456600847,TG60:8,TG61:1,Triglycerides,TG60:8
X102,0.322254078021247,SM(d18:2/14:0),SM(d18:1/24:0)-b,Sphingomyelins,SM(d18:2/14:0)
X78,0.317429526998761,PC(18:2_20:5),PC(18:2_20:4)-b,Phosphatidylcholines,PC(18:2_20:5)
X39,0.314277451887177,PC(O-16:0/16:0),SM(d18:1/16:0)-OH,Oxydized Sphingomyelins,PC(O-16:0/16:0)
X37,0.310945115169842,PC(16:0_18:2(OH)),PC(16:0_18:2(OH)),Oxidized Phosphatidylcholines,PC(16:0_18:2(OH))
X16,0.309111840749986,LPC15:0,LPC15:0,Lysophosphatidylcholines,LPC15:0
