MeanDecreaseGini,lipid_id_became,lipid_id_miracle,lipid_class,modified_became_id
X83,1.07659431990383,PC(22:6_20:4),PC(20:4_22:5),Phosphatidylcholines,PC(22:6_20:4)
X62,0.968701941249605,PC(14:0_20:5),PC(14:0_20:4n-3),Phosphatidylcholines,PC(14:0_20:5)
X128,0.963455886744557,TG50:6,TG50:6,Triglycerides,TG50:6
X134,0.918072871308204,TG52:7,TG52:7,Triglycerides,TG52:7
X64,0.871900554712311,PC(15:1/20:4) /PC(15:0/20:5),PC(15:0/20:5),Phosphatidylcholines,PC(15:1/20:4) /PC(15:0/20:5)
X127,0.812049762702573,TG50:5,TG50:6,Triglycerides,TG50:5__2
X11,0.803787167023758,CE20:5,CE20:5,Cholesteryl esters,CE20:5
X3,0.761553033038294,C18:1 Car,C18:1 Car,Acylcarnitines,C18:1 Car
X63,0.743818256469888,PC(15:0_22:6),PC(14:0_20:5),Phosphatidylcholines,PC(15:0_22:6)
X143,0.697530846110663,TG54:7,TG54:7,Triglycerides,TG54:7
X71,0.660684394488924,PC(16:1_20:5),PC(16:0_24:6),Phosphatidylcholines,PC(16:1_20:5)
X37,0.633899351374946,PC(16:0_18:2(OH)),PC(16:0_18:2(OH)),Oxidized Phosphatidylcholines,PC(16:0_18:2(OH))
X144,0.627030880127872,TG54:8,TG54:8,Triglycerides,TG54:8
X146,0.517199262768136,TG55:7,TG55:7,Triglycerides,TG55:7
X132,0.497036983258929,TG52:5,TG52:5,Triglycerides,TG52:5
X8,0.489057296515051,CE18:1,CE18:1,Cholesteryl esters,CE18:1
X53,0.481935553423544,PC(O-18:1/20:3),PC(O-18:1/18:2),Phosphatidylcholine ethers,PC(O-18:1/20:3)
X16,0.475647778504462,LPC15:0,LPC15:0,Lysophosphatidylcholines,LPC15:0
X124,0.470266947600638,TG50:4,TG50:4,Triglycerides,TG50:4__1
X67,0.395138977640471,PC(16:0_20:5),PC(16:0_20:4n-3),Phosphatidylcholines,PC(16:0_20:5)
X133,0.353661568545998,TG52:6,TG52:6,Triglycerides,TG52:6
X61,0.349108635304201,PC(14:0_20:4n-3),PC(14:0_18:2),Phosphatidylcholines,PC(14:0_20:4n-3)
X65,0.326791755545067,PC(16:0_20:4n-3)-a,PC(15:0_22:6),Phosphatidylcholines,PC(16:0_20:4n-3)-a
X110,0.322112648517549,SM(d18:1/16:0)-OH,SM(d19:1/24:0),Sphingomyelins,SM(d18:1/16:0)-OH
X4,0.32184817379265,C18:2 Car,C18:2 Car,Acylcarnitines,C18:2 Car
X142,0.305537047204383,TG54:6,TG54:6,Triglycerides,TG54:6__5
X58,0.29994318739043,PC(O-20:2/20:4),PC(O-20:0/20:4),Phosphatidylcholine ethers,PC(O-20:2/20:4)
X1,0.286501152593818,C16:0 Car,C16:0 Car,Acylcarnitines,C16:0 Car
X51,0.274006741429702,PC(O-18:1/16:0),PC(O-18:0/20:4),Phosphatidylcholine ethers,PC(O-18:1/16:0)
X73,0.236734829738049,PC(16:1_22:6),PC(16:1_22:5),Phosphatidylcholines,PC(16:1_22:6)
X154,0.236112992981805,TG57:7,TG57:7,Triglycerides,TG57:7
X39,0.22582394738058,PC(O-16:0/16:0),SM(d18:1/16:0)-OH,Oxydized Sphingomyelins,PC(O-16:0/16:0)
X84,0.225343769332503,PE(O-16:0/20:4),PC(22:6_20:4),Phosphatidylcholines,PE(O-16:0/20:4)
X78,0.223283369629865,PC(18:2_20:5),PC(18:2_20:4)-b,Phosphatidylcholines,PC(18:2_20:5)
X81,0.214917965763321,PC(20:4_20:3),PC(20:4_20:0),Phosphatidylcholines,PC(20:4_20:3)
X54,0.179665207608595,PC(O-18:1/20:4)-a,PC(O-18:1/20:3),Phosphatidylcholine ethers,PC(O-18:1/20:4)-a
X80,0.174295738825257,PC(20:4_20:0),PC(18:2_22:5),Phosphatidylcholines,PC(20:4_20:0)
X22,0.172707438438489,LPC17:0-c,LPC17:0-c,Lysophosphatidylcholines,LPC17:0-c
X38,0.170869339132846,PC(16:0_20:4(OH)),PC(16:0_20:4(OH)),Oxidized Phosphatidylcholines,PC(16:0_20:4(OH))
X121,0.162717812638804,TG49:3,TG49:3,Triglycerides,TG49:3
X115,0.16266648901665,TG46:3,TG46:3,Triglycerides,TG46:3
X33,0.162461629655785,LPC20:5,LPC20:5,Lysophosphatidylcholines,LPC20:5
